LOCATION,STATAREA
"CULROSS PASSAGE, SOUTHWEST SIDE",486031
CULROSS PASSAGE/ BLACKSTONE BAY,486033
CULROSS PASSAGE/APPLEGATE ISLAND,486031
CULROSS PASSAGE/SOUTH SIDE,486031
CULROSS PASSAGE/WHITTIER SIDE,486033
CULROSS PASSEAGE,486033
CULROSS PASSGE,486033
CULROSS PASSSGE,486033
CULROSS POINT,486033
CULROSS SOUTH,486031
CULROSS SOUTH END,486031
"CULROSS, BLACKSTONE",486033
"CULROSS, PASSAGE CANAL",486033
CULROSSE,486033
CULRUS PASS,486033
CULRUSS PASSAGE,486033
CULTISTS PASS,486033
CULTISTS PASSAGE,486033
CULTROSS PASS,486033
CULUROSS PASSAGE,486033
CURLOSS PASSAGE,486033
DANGEREST PASSAGE,486005
DANGEROUS  PASSAGE,486005
DANGEROUS PASS,486005
DANGEROUS PASS NORTH END,486005
DANGEROUS PASSAGE,486005
DANGEROUS PASSAGE NEAR EWAN BAY,486005
"DANGEROUS PASSAGE, NORTH E",486005
"DANGEROUS PASSAGE, PADDY B",486005
DANGEROUS PASSAGE/ PADDY POINT,486005
DAY CARE BAY,476033
DAY CARE BAY/ PERRY ISLAND,476033
DAY CARE COVE,476033
DAYCARE BAY,476033
DE RICH SON BAY,486003
DEAR WATER BAY,486032
DECISION POINT,486033
DECISION POINT PASSAGE CANAL,486033
DECISION POINT WHITTIER,486033
"DECISION POINT, 467 FEET DEEP",486033
"DECISION POINT, PASSAGE CANAL",486033
"DECISION POINT, PWS",486033
DECISION POINT/BLACKSTONE BAY,486033
DECISION PT,486033
DECISION PT.,486033
DECISION PT/BLACKSTONE,486033
DECISON POINT,486033
DEEP BAY,486032
DEEP COVE,486032
DEEP WATER,486032
DEEP WATER BAY,486032
DEEP WATER BAY  NELLIE JUAN,486032
DEEP WATER BAY NELLIE JUAN,486032
"DEEP WATER BAY""",486033
"DEEP WATER BAY, AK",486032
"DEEP WATER BAY, NELLIE JUA",486032
"DEEP WATER BAY, PORT NELLIE JUAN",486032
DEEP WATER BAY/ NELLIE JUAN,486032
DEEP WATER BAY/GREYSTONE BAY,486032
DEEP WATER COVE,486032
DEEP WATER ENTRANCE,486032
DEEPWATER BAY,486032
"DEEPWATER BAY, KINGS BAY A",486032
"DEEPWATER BAY, NELLIE JUAN",486032
"DEEPWATER BAY, OUTSIDE",486032
DEEPWATER/ GRAYSTONE,486032
DEER COVE KNIGHT ISLAND,476005
DEICKSON BAY,486003
DELONG DOCK WHITTIER,486033
DEPP WATER BAY,486032
DEREKSON BAY,486003
DERICKSON,486003
DERICKSON BA,486003
DERICKSON BAY,486003
DERICKSON BAY (NELLIE JUAN FJORD),486003
DERICKSON BAY / NELLIES REST,486003
DERICKSON BAY AT ENTRANCE,486003
DERICKSON BAY EAGLEK,476033
DERICKSON BAY EAGLEK BAY,476033
DERICKSON BAY EAGLKE BAY,476033
DERICKSON BAY PORT NELLIE,486003
DERICKSON BAY PORT NELLIE JUAN,486003
"DERICKSON BAY, EAGLEK",476033
"DERICKSON BAY, PORT NELLIE JUAN",486003
"DERICKSON BAY, PWS",486003
DERICKSONNELLIE JUAN,486003
DERIKSON BAY,486003
DERISION,486003
DERRICK SO BAY,486003
DERRICK SON BAY,486003
DERRICKS BAY,486003
DERRICKSEN BAY,486003
DERRICKSON,486003
DERRICKSON BAY,486003
"DERRICKSON BAY, KINGS BAY",486003
"DERRICKSON BAY,PORTNELLIEJUAN",486003
DERRIKSON BAY,486003
DICKERSON,476033
DICKERSON BAY,476033
DICKERSON MORAIN,499999
DICKERSON PT,476033
DID NOT END UP FISHING FOR,499999
DID NOT FISH,499999
DID NOT FISH ON THIS DATE,499999
"DID NOT FISH, COULDN’T DEL",499999
DID NOT FISH-SOLD BOAT,499999
DID NOT GET TO SHRIMP,499999
DID NOT SHRIMP,499999
DID NOT SHRIMP ENTIRE SEAS,499999
DID NOT SHRIMP THIS SEASON,499999
DID NOT SHRIMP THIS YEAR,499999
DID. NOT FISH THIS YEAR,499999
DIDN'T FISH THIS YEAR,499999
DIDN'T GO FISHING,499999
DIRKSEN/DEEP WATER,486032
DIRKSON,486003
DISC,476007
DISC ISLAND,476007
DISK COVE,476007
DISK IS. S KNIGHT IS PASSAGE LOWER LOUIS BAY,476007
DISK IS.E KNIGHT IS. LOWER PASSAGE,476007
DISK ISLAND,476007
DIVISION PT,499999
DOCKS PORT VALDEZ,466100
DOUBLE BAY,466003
DREIER BAY,476005
DRIER,476005
DRIER BAY,476005
DRIER BAY - KNIGHT IS,476005
DRIER BAY AT MALLARD BAY E,476005
DRIER BAY KNGIHT ISLAND,476005
DRIER BAY KNIGHT ISLAND,476005
"DRIER BAY,KNIGHT IS",476005
DRYER BAY,476005
DUAL HEAD,486005
DUAL HEAD BETWEEN ICY BAY & WHALE BAY,486005
"DUEL HEAD, DANGERAS PASSAGE",486005
DUNCAN CANAL,499999
DUTCH GROUP,476033
DUTCH GROUP ISLAND,476033
DUTCH GROUP ISLANDS,476033
DUTCH GROUPS,476033
E ANDERSON BAY,466100
E ARM WELLS BAY,476036
E CULROSS BAY,486033
E END PORT VALDEZ,466100
E ENTRANCE UPPER PASSAGE O,476032
E ESTHER PASSAGE,476033
E MCCLURE BAY,486031
E MCPHERSON PASSAGE,476034
E OF CRAFTON IS,476032
E OF POE BAY PASSAGE CANAL,486033
E SHAMY BAY,476006
E SIDE CULROSS ISLAND,486033
E SIDE ESTHER ISLAND,476033
E SIDE GREEN ISLAND,476009
E SIDE NAKED ISLAND,476035
E SIDE PORT GRAVINA,466031
E TWIN BAY,476033
E TWIN PERRY IS,476033
E. SIDE COCHRANE BAY,486033
E. SIDE OF COCHRANE,486033
E. SIDE PORT WELLS / ESTER PASSAGE,476033
EAGALIK BAY,476033
EAGELAK BAY,476033
EAGELEK BAY,476033
EAGLAK,476033
EAGLAK BAY,476033
EAGLE BAY,476033
EAGLE K BAY,476033
EAGLEC BAY,476033
EAGLEK,476033
EAGLEK / CASCADE BAY,476033
EAGLEK BAY,476033
EAGLEK BAY / EAGLEK ISLAND,476033
EAGLEK BAY / SHOUP BAY,476033
EAGLEK BAY CENTER,476033
EAGLEK BAY ENTRANCE,476033
"EAGLEK BAY, PWS",476033
EAGLEK CASCADE,476033
EAGLEK EASTSIDE OUTSIDE SCHOPPE,476033
EAGLEK ISLAND,476033
EAGLEK N CASCADE,476033
EAGLEK/ DERICKSON,476033
EAGLEK/ SCHOOPE,476033
EAGLES BAY,476033
EAGLICK,476033
EAGLICK BAY,476033
EAGLIEK BAY,476033
EAGLIK,476033
EAGLIK BAY,476033
EAQLEK BAY,476033
EASHAMY BAY,476006
EASHAMY MOUTH,476006
EAST ARM WHALE BAY,486005
EAST BAINBRIDGE PASSAGE,486001
EAST CULROSS ISLAND,486033
EAST DANGEROUS PASSAGE,486005
EAST END BUZBY ISLAND,466033
EAST END OF PASSAGE CANAL,486033
EAST END PASSAGE CANAL,486033
EAST ESTER CANAL,476033
EAST FINGER,486032
EAST FINGER BAY,486032
EAST FINGER COVE,499999
EAST FINGER INLET,486032
EAST FINGERLING INLET,499999
EAST FLANK  1 BAY,476033
EAST FLANK ISLAND,476033
EAST OF ALLISON POINT VALD,466100
EAST OF ANDERSON BAY,466100
EAST OF CULROSS ISLAND,486033
EAST OF ENTRY COVE,486033
"EAST OF KITTYWAKES, PASSAG",466100
EAST OF KNIGHT ISLAND MARS,476007
EAST OF NARROWS,466100
EAST OF PACKHAM PT COGHILL,486100
EAST OF POINT LOWE,466100
EAST OF SHOTGUN COVE,486033
"EAST OF TWIN BAY, PERRY ISLAND",476033
EAST OF VALDEZ CONTAINER DOCK,466100
EAST OF VCT,466100
EAST OF WHITTIER TWO MILES,486033
EAST OT THE VALDEZ COMMERC,466100
EAST PERRY ISLAND,476033
EAST SDIE WELLS BAY,476036
EAST SIDE COCHRANE BAY,486033
EAST SIDE EAGLEK,476036
EAST SIDE OF PORT WELLS JU,486034
EAST SIDE OF PORT WELLS OU,486034
"EAST SIDE OF PORT WELLS, F",486034
"EAST SIDE OF PORT WELLS, N",486034
EAST SIDE OLSEN ISLAND,476036
EAST SIDE PERRY ISLAND,476033
EAST SIDE PORT WELLS,486034
EAST SIDE PT. ELENORE,476032
"EAST SIDE SHOUP BAY SPIT,",466100
"EAST SIDE SHOUP BAY SPIT, PORT VALDEZ",466100
EAST SIDE UNAKQWIK,476036
EAST TWIN,476033
EAST TWIN BAY,476033
EAST TWIN BAY OFF PERRY ISLAND,476033
EAST TWIN BAY PERRY ISLAND,476033
"EAST TWIN BAY, PERRY ISLAND",476033
EAST TWIN ENTRANCE PERRY ISLAND,476033
EAST VALDEZ NARROWS,466100
EAST VMT,466100
EASTER  ROCK,486033
EASTER ISLAND,486034
EASTER PASSAGE,476033
EASTER PASSAGE SOUTH,476033
EASTER ROCK,486033
EASTERN PORTION OF JACK BAY,466100
EASTSIDE BLACKSTONE BAY,486033
EASTSIDE CULROSS ISLAND,486033
ECKLEBERG BAY,499999
EGALIK BAY NEAR DERICKSON BAY,476033
EGALIK BAY NEAR SCHOPPE COVE,476033
EGELEK,476036
EGG,476033
EGG ISLAND,476033
EGG ROCK,476033
EGG ROCKS,476033
EGIK BAY,476036
EGLACK BAY,476036
EGLAK,476036
EGLEK,476036
EGLIG BAY,476036
EGLIK,476036
EGLIK BAY,476036
EGLIK BAY WEST,476036
EGLIKE BAY IN PRINCE WILLIAM SOUND,476036
EICKELBERG BAY,476035
EILISON POINT,466100
EILSON POINT,466100
EKWAK BAY/MINORS BAY,476101
ELANOR ISLAND,476032
ELDER POINT GLACIER ISLAND,476035
ELDER PT,476035
ELEANOR ISLAND,476032
ELEANOR ISLAND SOUTH END,476032
ELEANOR ISLAND `,476032
ELENOR ISLAND,476032
ELENOR POINT,476032
ELF POINT,476035
ELF POINT AT HEATHER BAY,476035
ELF PT,476035
ELF PT COLUMBIA BAY,476035
ELISION POINT,466100
ELLAMAR,466033
ELRINGTON,485932
ELRINGTON ISLAND,485932
ELRINGTON PASSAGE,485932
EMERALD BAY,486033
"EMERALD BAY, PASSAGE CANAL",486033
EMERALD COVE,486033
EMERALD COVE AT HEATHER BA,486033
EMERALD COVE/PASSAGE CANAL,486033
EMERALD IS PASSAGE CANAL,486033
EMERALD POINT SHOTGUN COVE PASSAGE CANAL,486033
EMRALD COVE,486033
END OF PASSAGE CANAL,486033
ENTERENCE TO VALDEZ NEW SMALL BOAT HARBOR,466100
ENTRANCE BETTLES BAY,486034
"ENTRANCE BLACKSTONE, SOUTHWEST SIDE",486033
ENTRANCE CULROSS PASSAGE,486033
ENTRANCE HARRISON LAGOON,486034
ENTRANCE ISLAND,466100
ENTRANCE ISLAND VALDEZ,466100
ENTRANCE ISLAND VALDEZ ARM,466100
ENTRANCE ISLAND VALDEZ NARROWS,466100
"ENTRANCE ISLAND, VALDEZ NARROWS",466100
ENTRANCE MAIN BAY,486031
"ENTRANCE NARROWS, PAST SHOUP BAY",466100
ENTRANCE OF BLACKSTONE,486033
ENTRANCE OF BLACKSTONE BAY,486033
ENTRANCE OF DEEPWATER BAY,486032
ENTRANCE OF EAGLEK BAY,476036
ENTRANCE OF HOGAN BAY,476003
ENTRANCE OF ICY BAY,486005
"ENTRANCE OF WEST TWIN BAY,",476033
ENTRANCE POINT,466100
ENTRANCE POINT VALDEZ ARM,466100
ENTRANCE ROCK,466100
ENTRANCE SAWMILL BAY VALDEZ,466100
ENTRANCE TO BLACKSTONE BAY,486033
"ENTRANCE TO BLACKSTONE, SOUTHWEST SIDE",486033
ENTRANCE TO BLUE FJIORD,486003
ENTRANCE TO CULROSS PASSAGE,486033
ENTRANCE TO DEEP WATER BAY,486032
ENTRANCE TO DRIER BAY,476005
ENTRANCE TO GRANITE BAY,499999
ENTRANCE TO HIDDEN BAY,486033
"ENTRANCE TO ICY BAY, EAST SIDE",486005
ENTRANCE TO JACK BAY,466100
ENTRANCE TO PADDY BAY,486005
ENTRANCE TO PORT NELLIE JUAN,486031
ENTRANCE TO QUILLIAN BAY,486033
ENTRANCE TO THE NARROWS,466100
ENTRANCE TO VALDEZ NARROWS,466100
ENTRANCE TO VALDEZ SMALL BOAT HARBOR,466100
ENTRANCE TO VALDEZ SMALL BOAT HARBOR Q,466100
ENTRANCE TO WET TWIN BAY-,476033
ENTRY,499999
ENTRY COVE,486033
ENTRY COVE PASSAGE CANAL,486033
ENTRY POINT,466100
ERICKSON BAY,476033
ERNEST SOUND,499999
ESAMY BAY,476006
ESCHAMY BAY,476006
ESCHEMY BAY,476006
ESHAMEY,476006
ESHAMMY BAY,476006
ESHAMY,476006
ESHAMY BAY,476006
ESHAMY BAY OUTSIDE MAIN BAY,486031
"ESHAMY BAY, AK",476006
"ESHAMY BAY, PRINCE WILLIAM SOUND",476006
ESHAMY DISTRICT,476006
ESHAMY LAGOON,476006
ESHAMY/FOUL BAY,476006
ESHEMY BAY,476006
ESHER BAY,476033
ESHMAY BAY,476006
"ESHMAY BAY, MOUTH OFF POINT",476006
ESHMEY BAY,476006
ESHTER PASSAGE,476033
ESSHAMY BAY,476006
ESTAR PASSAGE,476033
ESTER,486033
ESTER BAY,486033
ESTER ISLAN,486033
ESTER ISLAND,486033
ESTER ISLAND PASSAGE,476033
ESTER ISLAND PORT WELLS SIDE,486034
ESTER ISLAND SOUTH SIDE,486033
"ESTER ISLAND, SHOESTRING COVE",476033
ESTER PASSAGE,476033
ESTER PASSAGE (SOUTH ENTRA,476033
ESTER PASSAGE / GROMMET COVE,476033
"ESTER PASSAGE, NEAR E. FLA",476033
ESTER POINT,486033
ESTER ROCK,486033
ESTER STRAIGHT,476033
"ESTER, QUILLIAN BAY",486033
ESTERPASSAGE,476033
ESTHER,486033
ESTHER BAY,476033
ESTHER BAY ENTRANCE,476033
"ESTHER BAY, LAKE BAY",476033
ESTHER ISL,486033
ESTHER ISLAND,486033
ESTHER ISLAND LAKE BAY,486033
ESTHER ISLAND PASSAGE,476033
"ESTHER ISLAND, LAKE BAY",476033
"ESTHER ISLAND, NEAR ESTHER ROCK",486033
ESTHER PASS,476033
ESTHER PASSAGE,476033
ESTHER PASSAGE AREA,476033
ESTHER PASSAGE ENTERENCE S,476033
ESTHER PASSAGE ENTRANCE,486034
ESTHER PASSAGE-LOWER,476033
ESTHER POINT,486033
ESTHER POINT PORT WELLS,486034
ESTHER PT.,486033
ESTHER PWS,486033
ESTHER RICK,486033
ESTHER ROCK,486033
ESTHER ROCK VACINITY,486033
ESTHER ROCKS,486033
ESTHERPASSAGE,476033
ETCHES BAY,466003
EVANS ISLAND,486001
"EVANS ISLAND, SHELTER BAY",476004
EVANS POINT,476004
EWAN BAY,486005
FACE OF BAINBRIDGE GLACIER,486001
FAIRMONT,476036
FAIRMONT ISLAND,476036
FAIRMONT ISLAND / WELLS BA,476036
FAIRMONTT PASSAGE / ISLE,476036
FAIRMOUNT BAY,476036
"FAIRMOUNT BAY, AK",476036
FAIRMOUNT ISLAND,476036
FAIRMOUNT REEF,476036
FALLS ACROSS FROM WHITTIER,486033
FALLS BAY,476032
FALLS CREEK,499999
FALLS PASSAGE CANAL,486033
FERRY DOCK,486033
FERRY DOCK PORT VALDEZ,466100
FERRY TERMINAL PORT OF VAL,466100
FIDALGO,466033
FIDALGO BAY,466033
FIDELGO BAY SNUG CORNER,466033
FINSKI POINT-GLACIER IS,476035
FIRST BAY ON THE RIGHT OF VALDEZ BEFORE THE NARROWS,466100
FISH BAY,466033
FISH BAY PORT FIDALGO,466033
FISH TRAP,476036
FIVE MILE BEACH PORT VALDEZ,466100
FIWAS BAY,476101
FJORD,499999
FLEMING ISLAND (NORTH SIDE),486001
FLEMMING ISLAND,486001
FLENT POINT,476035
FLINT POINT,499999
FLOATING POTS,466100
FLUE FIJORD,486003
FOOL ISLAND,476033
FOUL BAY,486031
"FOUL BAY, ESHAMY DISTRICT",476006
FOX FARM,485932
FOX FARM BAY,485932
FREEMANTLE,466033
FREEMOUNT ISLAND,476036
FRONT OF ESTHER PASS,476033
FRONT OF HIDDEN BAY ON CARLOS'S IS.,486033
FRONT OF HUMMER BAY,486034
FRONT OF SURPRISE COVE,486033
GAAMAAK COVE ICY BAY,486005
GAAMAAK ISLAND ICY BAY,486005
GAGE ISLAND,486001
GALENA,466033
GALENA  BAY,466033
GALENA BAY,466033
GALENA BAY (OUTER BAY),466033
GALENA BAY PWS,466033
GALENA BAY SOUTH SHORE,466033
GALENA BAY SW,466033
"GALENA BAY, AK",466033
"GALENA BAY, N OF ROCKY PT.",466033
GALENA BAY.,466033
GALENA ROCK,466033
GALENS BAY,466033
GELENA BAY,466033
GLACIER,476035
GLACIER BAT,476035
GLACIER BAY,476035
"GLACIER DAMN, W SIDE OF UNAKWIK INLET",476035
GLACIER IS./GROWLER BAY,476035
GLACIER ISALAND,476035
GLACIER ISLAND,476035
GLACIER ISLAND ELDER PT,476035
GLACIER ISLAND GROWLER BAY,476035
GLACIER ISLAND ICEBERG POI,476035
GLACIER ISLAND IN FRONT OF,476035
GLACIER ISLAND NORTH SIDE,476035
GLACIER ISLAND PASSAGE,476035
GLACIER ISLAND SOUTH,476035
"GLACIER ISLAND, GROWLER BA",476035
GLACIER PASSAGE,476035
GLAICER ISLAND,476035
GOLD BEACH,466100
"GOLD BEACH, PORT VALDEZ",466100
GOLD CREEK,466100
GOLD CREEK AREA,466100
GOLD CREEK AREA OF PORT VALDEZ,466100
GOLD CREEK BAY,466100
GOLD CREEK IN PORT VALDEZ,466100
GOLD CREEK OUTLET,466100
GOLD CREEK PORT VALDEZ,466100
GOLD CREEK VALDEZ,466100
GOLD CREEK VALDEZ ARM,466100
GOLD CREEK VALDEZ BAY,466100
GOLD CREEK WATERFALL,466100
"GOLD CREEK, NEAR SHOUP BAY",466100
"GOLD CREEK, NEAR SHOUP BAY,  PRINCE WILLIAM SOUND",466100
"GOLD CREEK, NEAR SHOUP BAY, PRINCE WILLIAM SOUND",466100
"GOLD CREEK, PORT VALDEZ",466100
"GOLD CREEK, VALDEZ",466100
"GOLD CREEK, VALDEZ ARM",466100
"GOLD CREEK, VALDEZ BAY",466100
"GOLD CREEK,,,VALDEZ",466100
GOLD GREEK,466100
GOLD MINE,499999
GOLD MINE PORT VALDEZ,466100
GOLDEN,486034
GOLDEN BAY,486034
GOLDEN BENCHMARK,486034
GOLDEN COVE,486034
GOLDEN IN PORT WELLS,486034
GOLDEN POINT,486034
GOLDEN PORT WELLS,486034
"GOLDEN, WELLS PASSAGE",486034
GOLDEN-PORT WELLS,486034
GOLDS CREEK,466100
GOLINA BAY,466033
GOLPEN,486034
GOOSE BAY,486033
GOOSE ISLAND,486033
GRADUAL POINT,486033
GRADUAL POINT PASSAGE CANA,486033
GRADUAL POINT PASSAGE CANAL,486033
"GRADUAL POINT, PASSAGE",486033
GRADUAL PT,486033
GRADUAL PT.,486033
GRAGUAL PT,486033
GRANATE BAY,486034
GRANDUAL PT,486033
GRANIT BAY,499999
GRANIT BAY WPS,486034
GRANITE - PORT WELLS,486034
GRANITE BAY,486034
GRANITE BAY (AGAIN),486034
GRANITE BAY (PORT WELLS),486034
GRANITE BAY (WELLS),486034
GRANITE BAY - KNIGHT ISLAN,476006
GRANITE BAY DANGEROUS PASS,476006
GRANITE BAY DANGEROUS PASSAGE,476006
GRANITE BAY ENTRANCE (PORT,486034
GRANITE BAY ESTHER ISLAND,486034
GRANITE BAY IN PORT WELLS,486034
GRANITE BAY PORT WELLS,486034
GRANITE BAY SOUTH - PORT WELLS,486034
GRANITE BAY WELLS BAY,476036
GRANITE BAY WELLS PASSAGE,476036
GRANITE BAY WPS,486034
"GRANITE BAY, HEAD OF WELLS",476036
GRANITE BAY/PORT WELLS,486034
GRANITE COVE,476035
"GRANITE COVE, PONDWELLS",486034
GRANITE POINT,476036
GRAUDAL POINT PASSAGE CANAL,486033
GRAVEYARD POINT,466033
GRAVINA ROCKS,466031
GRAVITATE BAY,476036
GREEN ISLAND,476007
GREEN ISLAND (NORTH SIDE),476007
GREEN ISLAND GIBBON ANCHOR,476007
GREY STONE,486032
GREY STONE BAY,486032
GREYSTONE,486032
GREYSTONE BAY,486032
GREYSTONE BAY - PORT NELLY JUAN,486032
"GREYSTONE BAY, PORT NELLIE JUAN",486032
"GREYSTONE, DANGEROUS PASSAGE",486032
GROWLER,476035
GROWLER BAY,476035
GROWLER BAY GLACIER ISLAND,476035
"GROWLER BAY, AK",476035
"GROWLER BAY, PWS",476035
GUAGE ISLAND,486005
GULENA BAY,466033
GUT BAY,499999
GUT HARBOR,499999
HALLOW BIGHT/SQUIRREL COVE,486033
HARBER,499999
HARBOR BY COFFMAN COVE,499999
HARBOR PORT VALDEZ,466100
HARIMAN FIORD,486100
HARIMAN FJORD,486100
HARISON LAGOON,486034
HARRIMAN,486100
HARRIMAN FIORD,486100
HARRIMAN FJORD,486100
HARRIMAN GLACIER,486100
HARRIMAN REEF,486100
HARRIMON BAY,486100
HARRINGTON FJORD,486100
HARRIS ARM,486100
HARRIS FJORD,486100
HARRISON,486034
HARRISON BAY,486034
HARRISON BAY PORT WELLS,486034
HARRISON COVE PORT WELLS,486034
HARRISON FIORD,486100
HARRISON FJORD,486034
HARRISON LAGON AREA,486034
HARRISON LAGOON,486034
HARRISON LAGOON BARRY ARM,486034
HARRISON LAGOON PORT WELLS,486034
"HARRISON LAGOON, PORT WELLS",486034
HARVARD ARM,476102
"HATCHERY, UNAKWIK BAY",476101
HEAD COCHRAN BAY,486033
HEAD COCHRANE BAY,486033
HEAD DERICKSON BAY,486003
HEAD OF BAY,499999
HEAD OF BAY IN WHITTIER,486033
HEAD OF BAY WHITTIER,486033
HEAD OF BETTELS BAY,476035
HEAD OF BLACKSTONE,486033
HEAD OF BLACKSTONE BAY,486033
HEAD OF COCHRAN,486033
HEAD OF COCHRAN BAY,486033
HEAD OF COCHRAN BAY EAST S,486033
HEAD OF COCHRANE BAY,486033
HEAD OF GRAVINA BAY,466031
HEAD OF GREYSTONE BAY,486032
HEAD OF HERRING BAY,476006
HEAD OF JACK BAY,466100
HEAD OF JACK BAY VALDEZ ARM,466100
HEAD OF KINGS BAY,486004
HEAD OF LONG BAY,476035
HEAD OF LONG BAY PWS,476035
HEAD OF MCCLURE BAY,486031
HEAD OF PASSAGE CANAL,486033
HEAD OF PORT GRAVINA,466031
HEAD OF PORT OF VALDEZ,466100
HEAD OF WELLS BAY,476036
HEAD OF WHITTIER,486033
HEAD WELLS BAY,486034
HEADWATERS WELLS BAY,476036
HEARING BAY,476006
HEATHER BAU,476035
HEATHER BAY,476035
HEATHER BAY PWS,476035
"HEATHER BAY, 1/3 WAY IN",476035
"HEATHER BAY, COLUMBIA",476035
"HEATHER BAY, INSIDE COLUMBIA BAY",476035
"HEATHER BAY, PRINCE WILLIAM SOUND",476035
HEATHER BAY—COMMERCIAL BOAT POUNDING THE AREA,476035
HEATHER ISLAND,476035
"HENY HOOK, HARRIMAN FJORD",486100
HERIMAN FJRD,486100
HERING BAY,476006
HERRING BAY,476006
HERRING BAY KNIGHT IS.,476006
HERRING BAY KNIGHT ISLAND,476006
"HERRING BAY, KNIGHT ISLAND",476006
HERRING BAY2,476006
HERRING POINT KNIGHT ISLAND,476006
HIDDEN BAY,486033
HIDDEN BAY CULROSS ISLAND,486033
HIDDEN BAY CULROSS PASSAGE,486033
HIDDEN BAY ENTRANCE,486033
HIDDEN BAY PERRY PASSAGE,486033
"HIDDEN BAY, PERRY ISLAND PASSAGE",486033
HIDDEN COVE,486033
HIDDEN COVE (CULROSS ISLAND),486033
"HIDEY HOLE, JUST OUTSIDE, NEAR CEDAR COVE",476036
HOBO,486034
HOBO  COVE,486034
HOBO  FORDS,486034
HOBO AND LAGOON,486034
HOBO BAY,486034
HOBO BAY - PRINCE WILLIAM SOUND,486034
HOBO BAY MOUTH,486034
HOBO BAY PORT WELLS,486034
"HOBO BAY, PORT WELLS",486034
"HOBO BAY, PORT WELLS, WHIT",486034
HOBO COVE,486034
HOBO ENTRANCE,486034
HOBO NAY,486034
HODGKINS POINT,486034
HODGKINS PT,486033
HOG BAY,486001
HOGAN BAY KNIGHT ISLAND,476003
HOGG BAY,486001
HOGS BAY,486001
HUMMER,486034
HUMMER BAY,486034
HUMMER BAY ENTRANCE,486034
HUMMER BAY MOUTH,486034
HUMMER BAY PORT WELLS,486034
"HUMMER BAY, PORT WELLS",486034
HUMMER BAY/PORT WELLS,486034
HUMPBACK COVE,486005
HUMP’S OUTSIDE HUMMER BAY,486034
I DID NOT USE THIS PERMIT,499999
I ONLY FISHED IN PORT VALD,466100
ICEBERG POINT,476035
ICEY BAY,486005
ICY BAT,486005
ICY BAY,486005
ICY BAY  PWS,486005
"ICY BAY , PRINCE WILLIAM SOUND",486005
"ICY BAY ,PRINCE WILLIAM SOUND",486005
ICY BAY JACKPOT 1,486005
ICY BAY MOUTH,486005
ICY BAY PWS,486005
ICY BAY VERDAT IS,486005
ICYBAY,486005
IKTUA BAY,486005
IN FROMT OF SHOUP BAY,466100
IN FRONT OF 3 FINGERS BAY,486033
IN FRONT OF GOLD CR DOWN FROM FAIRY TERMINAL,466100
IN FRONT OF HIDDEN BAY,486033
IN FRONT OF PIGOT BAY,486034
IN FRONT OF SAW MILL BAY,466100
IN FRONT OF SHOUP BAY,466100
IN FRONT OF TCC,466033
IN PASSAGE CANAL ABOUT 5 MILES FROM WHITTER,486033
INAKIYK BAY,476036
INAKWIK INLET,476036
INGOT ISLAND,476032
INGOT ISLAND LOWER PASSAGE,476032
INGOT ISLAND UPPER PASSAGE,476032
"INLET""",476036
INSIDE DRIER BAY KNIGHT ISLAND,476005
INSIDE MAIN BAY,486031
INSIDE OF MAIN BAY,486031
INSIDE THE NARROWS,466100
INSIDE WHITTIER BAY,486033
IRISH COVE,466033
IRISH COVE PORT FIDALGO,466033
ITALIAN BAY,476004
"I’M BAY AT ROUGHLY (61.0997833, -146.2843648)",466100
JACK,466100
JACK BAH,466100
JACK BAY,466100
JACK BAY - ALL MY SHRIMP GEAR WAS STOLEN,466100
JACK BAY ENTRANCE,466100
JACK BAY ENTRANCE (NORTH),466100
JACK BAY MIDDLE,466100
JACK BAY PORT VALDEZ,466100
JACK BAY VALDES ARM,466100
JACK BAY VALDEZ ARM,466100
"JACK BAY, AK",466100
"JACK BAY, PRINCE WILLIAM SOUND",466100
"JACK BAY, VALDEZ",466100
"JACK BAY, VALDEZ ARM",466100
JACK BAY- VALDEZ ARM,466100
JACK BAY.   NORTH BANK,466100
JACK POT,486005
JACK POT / ICY BAY,486005
JACK POT BAY,486005
JACK'S BAY,466100
JACKPOT,486005
JACKPOT  BAY,486005
JACKPOT BAY,486005
JACKPOT BAY ENTRANCE,486005
JACKPOT ENTRANCE,486005
JACKPOT ISALND,486005
JACKPOT ISLAND,486005
JACKPOT POINT,486005
"JACKPOT, DANGEROUS PASSAGE",486005
"JACKPOT, WHALE BAY",486005
JACKS,466100
JACKS BAY,466100
JACKS BAY BY ISLAND,466100
JACKS BAY TONGUE POINT,466100
JACKS BAY TOUNGE POINT,466100
JACKS BAY VALDEZ,466100
"JACKS BAY,  JACKS POINT",466100
JACKS BAY-PWS,466100
JACKS BAY=PWS,466100
JACKSON COVE,476035
JACKSON COVE GLACIER ISLAND,476035
JACKSON HOLE,476035
JACK’S BAY,466100
JACKÂ€™S BAY,466100
JAK BAY,466100
JENNY ISLAND,476033
JOAN PASSAGE,486031
JOANNA BAY,476101
JOHNSON BAY,476006
JOHNSON BAY KNIGHT ISLAND,476006
JOHNSTON BAY,485935
JOHNSTONE BAY,485935
JOHNSTONE POINT,485935
JONAH BAY,476036
JONAH BAY AND FISH HATCHERY,476101
JONAH BAY UNAKWIK INLET,476101
"JONAH BAY, UNAKWIK",476101
