LOCATION,STATAREA
BASS ISLAND/BASS COVE,476032
BAY,499999
BAY IN FRONT OF VALDEZ HAR,466100
BAY OF AISLES,476007
BAY OF ISLES,476007
BAY OF ISLES KNIGHT ISLAND,476007
BAY OF ISLES- JUST OUTSIDE BAY,476007
BAY TO THE RIGHT OF CULROSS PASSAGE ENTRANCE,486033
"BAY""",486033
BAY/ARM OF VELDEZ,466100
BEAR COVE COCHRANE BAY,486033
BEAR TRAP BAY,466031
BEARTRAP BAY,466031
"BEARTRAP BAY, AK",466031
BEATLES BAY,486034
BEATTLES BAY,486034
BEETLES BAY,486034
BEGINNING OF SHOTGUN BAY,486033
BEHIND JACKPOT ISLAND,486005
BEHING GLACIER ISLAND,476035
BELOW BLACKSTONE GLACIER,486033
BELOW COLLEGE FJORD,476102
BELOW TEBENKOF GLACIER,486033
BERRY ARM,486100
BERTH 5,499999
BETTELS,486034
BETTELS BAY,486034
BETTES BAY/HOBO BAY AREA,486034
BETTLE BAY,486034
BETTLES,486034
BETTLES BAT,486034
BETTLES BAY,486034
BETTLES BAY (MOUTH),486034
BETTLES BAY - PORT WELLS,486034
BETTLES BAY AREA,486034
BETTLES BAY AT ENTRANCE,486034
BETTLES BAY ENTRANCE AT WE,486034
BETTLES BAY MOUTH,486034
BETTLES BAY PORT WELLS,486034
"BETTLES BAY, N. SIDE OF EN",486034
BETTLES BAY/HOBO BAY AREA,486034
BETTLES HOBO COLLEGE MARID,486034
BETTLES INLET,486034
BETWEEN ANDERSON BAY AND ENTRANCE ISL. PWS,466100
BETWEEN BLACKSTONE AND COC,486033
BETWEEN BLACKSTONE BAY AND,486033
BETWEEN CEDAR BAY AND GRAN,476036
BETWEEN ESTHER AND QUILLIA,486033
BETWEEN ESTHER BAY AND QUI,486033
BETWEEN GREYSTONE AND DERI,486032
BETWEEN JACK AND SAWMIL BAY ENTRANCES,466100
BETWEEN LOGGING CAMP BAY AND ENTRY COVE,486033
BETWEEN MAIN BAY AND FOUL BAY,486031
BETWEEN POTATO POINT AND S,466100
BETWEEN POTATO POINT AND SAWMILL BAY,466100
BETWEEN SAWMILL BAY AND PO,466100
BIDARKA POINT PORT FIDALGO,466033
BIG WATERFALL/MIDDLE ROCK,466100
BIGOT BAY,486034
BILLING BEACH,486033
BILLING CREEK,486033
BILLING CREEK PASSAGE CANAL,486033
BILLINGS,486033
BILLINGS AND COCHRAN,486033
BILLINGS BEACH,486033
BILLINGS COVE,486033
BILLINGS CR,486033
BILLINGS CR.,486033
BILLINGS CREEK,486033
"BILLINGS CREEK EAST, PASSAGE CANAL",486033
BILLINGS CREEK PASSAGE CAN,486033
BILLINGS CREEK PASSAGE CANAL,486033
"BILLINGS CREEK, PASSAGE CA",486033
BILLINGS GLACIER,486033
BILLINGS GLACIER BAY WHITTIER,486033
BILLINGS GLACIER PASSAGE CANAL,486033
BILLINGS GLCIER,486100
BILLINGS POINT PERRY ISLAN,476033
BILLINGS POINT. PERRY ISLA,476033
BILLY'S HOLE LONG BAY,476035
BILLYS HOLE,476035
BIRD ROOKERY BY WHITTIER,486033
BIRD ROOKERY PASSAGE CANAL,486033
BLACK  STONE,486033
BLACK DRONE BAY,486033
BLACK ROCK GLACIER,499999
BLACK STONE,486033
BLACK STONE  BAY,486033
BLACK STONE BAT,486033
BLACK STONE BAY,486033
BLACK STONE BAY AREA,486033
BLACK STONE BAY AT HEAD OF BAY,486033
BLACK STONE BAY IN FRONT OF FIRST GLACIER NEAR MOUTH,486033
BLACK STONE BAY MOUTH,486033
BLACK STONE BAY POINT,486033
BLACK STONE BAY SW ENTRANCE,486033
BLACK STONE BAY WHITTIER,486033
BLACK STONE BAY/COCHRAN BAY,486033
BLACK STONE BY WILLARD ISLAND,486033
BLACK STONE COVE,486033
BLACK STONE COVE WHITTIER,486033
BLACK STONE GLACIER,486033
BLACK STONE MOUTH,486033
BLACK STONE POINT,486033
BLACK STONE POINT COCHRAN,486033
BLACK STONE PT,486033
BLACK STONE PT.,486033
"BLACK STONE, WHIITER",486033
"BLACK STONE, WHITTIER",486033
BLACKHAWK BAY,499999
BLACKSONE BAY,486033
BLACKSTNE BAY,486033
BLACKSTOEN BAY,486033
BLACKSTOME POINT,486033
BLACKSTON,486033
BLACKSTON BAY,486033
BLACKSTONE,486033
BLACKSTONE  BAY,486033
BLACKSTONE 1/2 WAY INTO BA,486033
BLACKSTONE 17 MILE,486033
BLACKSTONE BATE,486033
BLACKSTONE BAY,486033
BLACKSTONE BAY - WEST SHOR,486033
BLACKSTONE BAY - WEST SIDE,486033
BLACKSTONE BAY - WHITTIER,486033
BLACKSTONE BAY BENEATH BAIRDS GLACIER,486033
BLACKSTONE BAY BY WILLARD ISLAND,486033
BLACKSTONE BAY EAST SIDE,486033
BLACKSTONE BAY ENTRANCE,486033
"BLACKSTONE BAY ENTRANCE, NEAR PASSAGE CANAL",486033
BLACKSTONE BAY HEAD,486033
BLACKSTONE BAY MIDWAY UP,486033
BLACKSTONE BAY N OF JUST WILLARD ISLAND,486033
BLACKSTONE BAY NEAR WILLARD ISLAND,486033
BLACKSTONE BAY NORTH SIDE,486033
BLACKSTONE BAY NW ENT,486033
BLACKSTONE BAY SUPRISE COVE,486033
BLACKSTONE BAY SURPRISE COVE,486033
BLACKSTONE BAY TEBENKOF,486033
BLACKSTONE BAY WILLARD IS.,486033
"BLACKSTONE BAY,  EACH PULL",486033
"BLACKSTONE BAY, NORTH SIDE.",486033
"BLACKSTONE BAY, NW SIDE",486033
"BLACKSTONE BAY, PORT OF VALDEZ",486033
"BLACKSTONE BAY, SOMEONE PU",486033
"BLACKSTONE BAY, WHITTIER ALASKA",486033
BLACKSTONE BAY.,486033
BLACKSTONE BAY/HEAD NEAR GLACIER MORRAINE,486033
BLACKSTONE BAY/MOUTH,486033
BLACKSTONE BAY3,486033
BLACKSTONE BEEN,486033
BLACKSTONE BSY,486033
BLACKSTONE BY WILLARD ISLAND,486033
BLACKSTONE DAY,486033
BLACKSTONE DECISION POINT,486033
BLACKSTONE ENTRANCE,486033
BLACKSTONE FJORD,486033
BLACKSTONE GLACIER,486033
BLACKSTONE GLACIER BAY,486033
BLACKSTONE MOUTH,486033
BLACKSTONE NEAR LARGE ISLA,486033
BLACKSTONE NEAR WILLARD,486033
BLACKSTONE POINT,486033
BLACKSTONE PT,486033
BLACKSTONEBAY,486033
BLACKTONE BAY,486033
BLACKTSONE,486033
BLACKWATER BAY,499999
BLACKWOOD BAY,499999
BLACLSTONE BAY,486033
BLACSTONE BAY WILLARD IS.,486033
BLANK STONE,486033
BLASKSTONE BAY,486033
BLCKSTONE,486033
BLCKSTONE BAY,486033
BLIGH,466033
BLIGH ISLAND,466033
BLIGH ISLAND (WEST BAY ARE,466033
BLIGH REEF,466033
BLIGH/GOOSE ISLAND,466033
BLINDE SLOUGH,499999
BLUE BAY,486003
BLUE FIJORD,486003
BLUE FINORD,486003
BLUE FIORD,486003
BLUE FIORD PORT NELLIE JUAN,486003
BLUE FIORD/PORT NELLIE JUAN,486003
BLUE FJIORD,486003
BLUE FJORD,486003
BLUE FJORD & PORT NELLIE JUAN,486003
BLUE FJORD BAY,486003
BLUE FJORD PRINCE WILLIAM SOUND,486003
"BLUE FJORD, DERRICKSON BAY",486003
BLUE FJORDS,486003
BLUE- NELLIE JUAN,486003
BLUEBERRY HILL,499999
BLUEFORD BAY,486003
BLUR FJORD,486003
BLUR FJORDS,486003
BLYE FJORDS,486003
BLYE REEF,466033
BOA STONE BAY,499999
BOMB PT.,466031
"BOOT COVE, PERRY ISLAND",476033
BOTTOM OF CULROSS PASSAGE,486033
BOTTOM OF ESTHER PASSAGE,476033
BOTTOM OF SHOUP BAY,466100
BOULDER BAY,466033
BTWN POTATO PT/SAWMILL BAY,466100
BUELLER COVE,476036
"BULL HEAD, GLACIER ISLAND",476035
BUR POINT,499999
BUSBY BAY,466033
BUSBY BENCHMARK,466033
BUSBY ISLAND,466033
"BUSBY ISLAND, VALDEZ ARM",466033
BUSBY POINT,466033
BUSH BANKS,486033
BUSH BANKS WHITTIER,486033
"BUSH BANKS, PASSAGE CANAL",486033
BUSH POINT,476033
BUSH POINT PERRY ISLAND,476033
BUYERS COVE,476035
BY OLD OWN VALDEZ,466100
BY OLD TOWN PORT VALDEZ,466100
BY OLD TOWN VALDEZ,466100
BY VALDEZ OIL TERMINAL,466100
C0CHRANE,486033
CABIN,499999
CABIN BAY,476034
CABIN BAY NAKED ISLAND,476034
CACHRANE BAY,486033
